,연수명,내용,별점,등록일
2350,정재승의 미래학교,"미래를 살아갈 학생들에게 길을 안내하시는 선생님들께 추천합니다. 미래사회는 어떤 인재를 요구하는지, 그 사회에서 살아갈 우리 학생들에게 어떤 도움을 주어야 하는지 방향을 알려 주는 좋은 연수입니다.",rate5,2022.04.17
2351,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)",오랫동안 비워졌던 구멍이 매꾸어 지는 듯한 현실의 변화에 기쁘고 막연한 마을 학교 지침에 많은 도움이 되었습니다,rate5,2022.04.16
2352,"4R'S로 키우는 힘, 기초학력교육","본 연수를 통해 기초학력교육에 대한 전반적인 내용 및 4R’S 지도법, 학습 부진아에 대한 교사의 세심한 배려와 지도가 필요함을 느낄 수 있었으며 또한 학습 장애 위험군의 선별 검사 도구의 이해와 한글 미해득 학생 지도를 위해 놀이 수업의 적용을 실제로 배워보는 알찬 연수였습니다. 학습 부진아가 있는 학급 담임교사라면 이런 연수를 꼭 받기를 권장 드리고 싶습니다.",rate5,2022.04.15
2353,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,"어여쁜 1학년 아이들과의 행복한 22학년도를 꿈꾸고 있었는데
이 연수를 통해 여러 노하우를 전수받을 수 있었습니다.
조금씩 조금씩 성장해 나가는 1학년을 기대하며 열심히 1년을 꾸려보겠습니다.",rate5,2022.04.15
2354,"기초학력교육, 관계형성이 먼저다.","요즈음 반에 기초학력이 부진하고 주의집중이 안되는 학생이 몇 명씩은 되는데 참 유익한 연수였습니다.
관계 형성을 먼저하고 학습이 이루어진다면 큰 교육 효과를 볼 수 있을 것 같습니다.
감사합니다~~!!",rate5,2022.04.15
2355,"학습격차, 차이를 넘어 함께 성장하기",교육 정책으로 기초학력 관련 연수 들어야 하시는 분이 많은데요. 이 연수 추천합니다. ^^,rate5,2022.04.15
2356,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,"평소 나의 교육관과 진로관, 교육철학과 딱 부합하는 내용의 연수여서 좋았습니다. 전면등교하면 차근차근 실천해보고 싶습니다.",rate5,2022.04.14
2357,디지털 네이티브 아이들의 메타버스 세상,"아이들과 나의 세상의 간격은 많이 벌어져 있었다.
그 간격을 조금이나마 줄이고 아이들의 세상을 조금이라도 이해하기 위해서 이 연수를 들었다.
여러 가지 내용을 듣기는 했지만 내가 제대로 이해했는지는 의문이다.",rate4,2022.04.14
2358,정재승의 미래학교,"다가올 미래에 대한 대비가 꼭 필요한 현 시점에,, 유익한 연수였습니다.
어떤 역량을 기를 수 있도록 무슨 방법을 써야 할지 고민해 볼 수 있습니다.
추천합니다!",rate5,2022.04.14
2359,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,학급에서 실제로 활용할 수 있는 연수 내용이어서 좋았습니다. 다른 선생님께 추천하고 싶습니다.,rate5,2022.04.14
2360,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,"정말 옆반 동학년 선생님께서 우리반의 현실적인 조언들을 해주는 느낌의 연수입니다.
딱딱하고 이론적인 강의식 연수가 아니라, 실제 경험과 현장에서 있을 법한 사례들을 바탕으로 어떻게 대처하고 말하고 행동해야 하는지를 구체적으로 알려주셔서 많은 도움이 되었습니다.
1학년의 특성을 더 잘 이해할 수 있었고, 공감되며 위로받는 시간이었습니다.",rate5,2022.04.13
2361,"민주시민의 길, 평화와 통일교육","연수를 들으며 갸우뚱할 때가 간혹 있었다..
10강에서 교사 시범 수업에서 ""북한이 잘 산다"" 라는 건 정확하게 지적해야 할 것 같다.
북한이 우리 생각보다 잘 사는 사람도 있다. 하지만 그건 지배 계층 소수, 평양에 집중되어 있다는 사실..
대다수의 북한 주민은 잘 살지 못한다는 게 전세계가 아는 사실인데..편견이라는 데 집중하다 보니 사실과 왜곡된 내용이 은연중에 전수 습득되는 건 아닌지..연수 전반적으로 이념적으로 편향된 건 아닌가 하는 생각이 들었다.",rate3,2022.04.13
2362,"4R'S로 키우는 힘, 기초학력교육",기초학력교육에 많은 도움을 받았습니다.,rate5,2022.04.13
2363,쏭내관과 함께하는 랜선궁궐기행 종합편,"항상 서울에 있는 궁궐을 답사하고 싶은 마음이 간절하다. 시간을 내지 못해 마음으로만 동경하던 곳을 랜선으로나마 답사하고 그 곳에 담긴 여러 가지 이야기를 들을 수 있는 기회가 되어 너무 만족스러운 연수였다. 각각의 건물마다 담긴 사연과 화려함, 원형으로 복원되지 못한 곳에 대한 아쉬움도 느끼며 처음부터 끝까지 집중하며 들었던 좋은 연수 였습니다.",rate5,2022.04.13
2364,전문가가 알려주는 창의 영재교육의 비법,잘 들었습니다. 아이스크림에도 영재교육 연수가 많이 생기면 좋겠어요.,rate5,2022.04.13
2365,수업을 바꾸자! 질문기반학습법,많이 배웠습니다. 코로나로 학교에 나오는 것 만으로도 버거운 학생들에게 좀더 부담없이 스스로 답을 찾아가며 수업에 적극적으로 참여하는 좋은 방법을 알려주셨네요. 연수 잘 들었습니다. 뒷 부분 직접 수업하는 장면으로 수업이 진행되어 더 의미있었습니다.,rate5,2022.04.12
2366,놀이와 질문이 함께하는 감동의 그림책 수업,그림책은 수업에 활용하기 좋은 자료이다. 어떻게 시작하느냐가 어렵지 그 시작을 알면 정말 효과만점이다. 그 시작을 이 연수가 도움이 된다. 추천합니다.,rate5,2022.04.12
2367,"4R'S로 키우는 힘, 기초학력교육","여기 저기서 배우고 알게 된 다양한 지도방법에 대한 내용들이 정리가 되는 것 같고, 가볍게 스치듯 알게된 내용에 대해 좀 더 정확히 알게 된 부분이 많았어요.. 기초학습보정시스템에 대한 내용도 있어서 업무진행에도 도움이 되었습니다.",rate5,2022.04.12
2368,"기초학력의 첫걸음, 한글교육","한글 교육을 체계적으로 가르칠 수 있도록 지도해 주시니 감사하네요. 아이들의 마음을 이해하고 좀 더 쉽고 재미있게 접근할 수 있도록 좋은 팁들을 얻고 나니 마음이 뿌듯하고 즐거운 교실이 될 것 같습니다. 연수를 받으면서 ""ㄱ의 날"" 부터 시작하여 ""ㅅ의 날""이 되었습니다. 아이들이 자기가 알아온 낱말들을 발표할 때 대견하기도 하고 호기심 많은 아이들에게 낱말을 찾아오는 또다른 즐거움을 선물한 것 같아 기쁩니다. 1학년 교사라면 꼭 들어야 할 연수라고 생각하고 동료 교사들에게도 추천해 볼 만한 좋은 연수라고 생각합니다.^^",rate5,2022.04.12
2369,프로젝트수업으로 시작하는 교실 속 디자인씽킹,감사히 잘 받았습니다.,rate5,2022.04.12
2370,"즐거운 대화, 하브루타로 수업하기",타로카드를 통해 상담을 할 수 있다는 게 신선하게 다가왔습니다.,rate4,2022.04.12
2371,"학습격차, 차이를 넘어 함께 성장하기",괜찮았습니다. 다만 대화 형식보다는 예시 자료 제시 형식이 더 좋았겠어요.....,rate4,2022.04.12
2372,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)","청소년들은 국가의 미래입니다. 교육은 인격을 형성하는 필수입니다. 일등과 입시에 목마른 청소년 학생들의 미래를 민 관 학 그리고 마을의 학부모들이 살아온 경험과 지식을 통하여 멘토와 강사역할그리고 선생님과 함께 공유 하는것은 최선의 방향이라고 사료됩니다.
사회는 점점 병들어 간다고 합니다. 자본주의 사회의 물질 만능주의, 빈부, 권력, 기성세대의 부패, 어르신들의 어르신 역할부재, 심지어 사회의 정의, 가정의 신뢰까지 염려되는 현 시점에 청소년들의 미래는 어둡다고 말들을 합니다. 학교에서도 최선을 다 했겠지만 물질문명은 고속으로 발달되는데 정신문명이 따라가지 못하니 암담하지요. 현재 청소년들에게 국가관 세계관 아니 자신의 미래에 대한 비젼을 제시해보라고 해보십시요. 이제는 마음을 바로 세우는 즉 기본이 바로서는 사회를 만들어야 함을 말씀드리고 싶습니다. 이번 강좌를 통해 많이 배웠읍니다. 부디 교사선생님들 노고가 많으시나 더욱 힘내십시요. 그래도 교사가, 교육이 바로서야 됩니다. 감사합니다.",rate5,2022.04.12
2373,학습격차를 줄이기 위한 슬기로운 수업방안,연수내용이 학습격차를 줄이기 위한 다양한 방안 제시와 더불어 알찼습니다.,rate5,2022.04.12
2374,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,수업을 처음에는 너무 학생에게 맡기는건 아닌지.... 2학년 학생들에게 적용할 수 있을지... 의구심이 많이 들었습니다.끝까지 수업을 듣고 여러모로 생각하니 지금 맡은 2학년 아이들에게도 적응할 수 있는 것이 적지 않았다. 우선 아이들 다툼시 변호사 직업군은 세워서 심도있게 고민도 해보니 아이들이 정말 깊이 생각하고 반성하는 계기가 되었고 아이들도 좋아했습니다. 그리고 친구들과 어울리지 못하는 여자1 남자 1에게 장난감놀이 지도 교사 자리를 주었는데 정말 효과가 좋습니다. 강추합니다.,rate5,2022.04.12
2375,정재승의 미래학교,정재승 교수님 연수 언제나 유익하죠! 강추합니다,rate5,2022.04.11
2376,수업을 바꾸자! 질문기반학습법,"아무리 교사가 앞에서 이야기한들, 아이들의 표정을 보면 반절만 이해하고 있을 때가 많다.
질문 기반 학습법을 들어보니 우선, 가장 적용하기 쉬운 과목인 사회부터 시작할까 한다. 질문을 만들기에 가장 편하고, 다양한 의견이 나올 수 있기 때문이다. 게다가 6학년 사회는 탐구하는 주제가 많아서 기대가 된다.",rate5,2022.04.11
2377,정재승의 미래학교,"사회의 급격한 변화에 따라 앞으로 사회구성원에게 기대되는 역량을 공감, 창작, 창의력, 융합적 사고, 협업, 호기심, 세계시민의식 등 7가지 범주로 나타내주신 것, 그리고 풍부한 자료와 입담으로 재미있는 연수를 해주신 것에 감사드립니다. 세계의 변화를 알기 쉽게 설명해 주시고, 그에 따른 미래 교육의 방향을 제시해주셔서 앞으로의 교육방침에 큰 도움이 되었습니다. 새로운 시야로 보게 해 주는 강의입니다. 적극 추천합니다.",rate5,2022.04.11
2378,놀이와 질문이 함께하는 감동의 그림책 수업,"질문하고 주고받는 하브루타에 관심이 많았기 때문에 놀이와 질문의 그림책 수업이라는 제목이 끌려 본 연수를 신청하게 되었습니다. 그림책 수업이 단순히 읽어주기로 끝나지 않고 그림책 속 인물이나 상황에 어울리는 간단한 놀이 활동과 함께 풀어나가는 점이 가장 인상적이었습니다. 예를 들어 검피 아저씨의 상황에서 아이들이 배를 탄 동물들이 되어 장난을 쳐 상황을 이해해본다거나 이를 인성놀이로 끌어내어 친구를 배려하는 징검다리 놀이로 연결시킨 부분 등입니다. 또한 학급경영에서 꼭 필요한 인성주제, 규칙은 꼭 지켜야 할까? 등의 주제를 그림책을 통해 학습하고 스스로 느낄 수 있도록 사례를 제시하여 큰 도움이 되었습니다. 다만 제가 관심갖고 있는 하브루타와 접목하여 친구들과 선생님과의 대화에서 친구와 친구사이의 대화의 방법이나 놀이도 제시되면 좋을 것 같다는 아쉬움도 있습니다. 다양한 그림책 연수를 비교해보고 선택한 연수여서인지 연수의 목적에 부합하는 연수였습니다. 추천합니다;",rate5,2022.04.11
2379,"민주시민의 길, 평화와 통일교육",교육청에서 이렇게 무료로 들을 수 있게 해 주어 좋았고 내용도 통일 교육에 대해 생각해 볼 수 있는 시간을 가져 유익했습니다.,rate5,2022.04.11
2380,정재승의 미래학교,미래 사회를 보는 안목도 길러지고 학생들에게 공유할 자료도 많습니다,rate5,2022.04.11
2381,뚝딱뚝딱 온앤오프 수업자료 만들기,필요한 연수입니다.,rate5,2022.04.11
2382,세상 쉬운 고교학점제! 진로 진학 끝판왕,"실제 운영 사례와 비전 제시를 통해 효과적으로 고교학점제를 이해 할 수 있었습니다.

개인적으로 연락드려 추가 자료를 요청했을 때, 응답해주신 부분도 너무 감동이었어요!

좋은 강의 감사합니다~",rate5,2022.04.11
2383,세상 쉬운 고교학점제! 진로 진학 끝판왕,고교학점제의 추진방향과 학점제를 통한 학생들의 진로성장에 대하여 잘 이해할 수 있었습니다.,rate5,2022.04.11
2384,"틀을 깬 수업, 미래 교실을 열다",수업에 활용하기 좋은 여러가지 팁이 있어서 좋았습니다.,rate5,2022.04.11
2385,온라인-오프라인 연계 수업 따라잡기,수업에 활용하기 좋은 여러가지 팁이 있어서 좋았습니다.,rate5,2022.04.11
2386,안전교육 SOS - 아이들을 부탁해!,"이해하기 쉽게, 현장 사례중심으로 잘 구성된거 같습니다
현직선생님들의 사례중심으로 내용을 잘 구성하였습니다.",rate5,2022.04.11
2387,"학습격차, 차이를 넘어 함께 성장하기","학습 격차 해결에 대한 열쇠 뿐만 아니라, 다양한 상황에서 활용 가능한 자료, 방법을 얻을 수 있는 연수였다. 알찬 내용으로 구성된 이 연수를 듣고 우리 반 아이들을 더 잘 지도해보고 싶다는 의지가 생겼다.",rate5,2022.04.10
2388,온라인-오프라인 연계 수업 따라잡기,"코로나19로 줌을 활용한 온라인 수업을 하면서 교사로서 또 한번의 신규교사가 되는 경험을 했습니다. 이번 온라인- 오프라인 계 수업 따라잡기 연수를 통해 온라인-오프라인 수업에 대해 많이 알게 되었습니다.
감사합니다.",rate5,2022.04.10
2389,"4R'S로 키우는 힘, 기초학력교육","학급내 부진학생이 있어서 연수를 신청하게 되었어요.
곱셈구구 및 연산에 어려움이 있는 학생인데 이번 연수를 통해 학생 지도에 자신감이 생겼습니다.",rate5,2022.04.09
2390,Let's AI 인공지능 교육 활용편,요즘 트렌드에 맞춤인 듯 만들어진 연수였습니다. 많은 도움이 되었습니다.,rate5,2022.04.09
2391,구글 설문을 활용한 온라인 수업 준비기,"이제는 구글이 대세인가봅니다.
알고 있으면 편리한 것들이 많이 있습니다.
하지만 몰라서 못 써먹고 있죠.ㅜ.ㅜ
이 강의를 듣고 그나마 두려움을 조금 없앤것 같습니다.
계속 공부하겠습니다.",rate5,2022.04.08
2392,"기초학력의 첫걸음, 한글교육","작년에 이어 1학년을 맡게되었습니다.
작년에는 유명한 학습지, 재미있어보이는 학습지 위주로 한글 지도를 하며 체계성이 부족하다는 것을 여실히 느꼈습니다.
'올 해는 달라져보자' 결심을 하고 이 연수를 듣게되었습니다.
아.. 작년 아이들에게 어찌나 미안한 마음이 들던지요.
수준이 달라도, 책을 싫어해도.. 이렇게 체계적이고도 즐겁게 한글을 배울 수 있구나 느꼈습니다.
한 차시, 한 차시가 끝날 때 마다 어서 교실에 가서 배운 내용을 아이들과 나누고 싶은 마움이 들었습니다.
다시 복습하며 모든 내용을 내 것으로 만들고 싶어졌습니다.
아이들 뿐아니라 그 누구에게라도 한글을 가르칠 수 있겠다는 자신감마저 들게하는 박지희 선생님의 연수.. 정말 추천합니다.",rate5,2022.04.08
2393,"나도 재미있는 메이커교육(영상활용과 온, 오프라인 메이커활동)","연수를 듣고 나니 영상활용 방법, 온, 오프라인 메이커 활동에 대해서 더욱 이해할 수 있게 되었습니다.",rate5,2022.04.08
2394,디지털 네이티브 아이들의 메타버스 세상,메타버스 세상 연수를 듣고 나니 새로운 메타버스 세상을 대비하여 학생들에게 어떻기 디지털 교육을 할지 조금이나마 감이 잡히는 것 같습니다. 감사합니다.,rate5,2022.04.08
2395,Let's AI 인공지능 교육 활용편,점차 인공지능이 사회를 변화시키는 시기인 것 같다. 교육에서도 인공지능을 적절히 활용하여 학생들의 학습 성취를 고취시킬 수 있도록 이번 연수에서 배운 내용들을 실제 수업 장면에서 활용하면 좋을 것 같다.,rate5,2022.04.08
2396,학습격차를 줄이기 위한 슬기로운 수업방안,"우리반 학생들 중 코로나로 인한 학습 결손이 누적되어 모든 과목에서 기초학력 점수가 미달된 학생이 있는데, 이를 해결하기 위해 이번 연수를 수강하게 되었다. 학습격차를 줄이기 위한 슬기로운 수업방법에 대해서 배웠으며 이를 실제 상황에 적용하여 큰 효과를 볼 것으로 기대한다. 알찬 내용이었다.",rate5,2022.04.08
2397,박진희와 함께 하는 교실 속 환경교육,"환경 교육은 매 해마다 강조되고 있어 굉장히 도움이 되는 연수였습니다.
다른 선생님들의 수업 속 모습을 볼 수 있고 학년 수준에 맞는 내용을 재구성할 수 있어서 아주 유익했어요.
학교에서 생명 생태 교육으로 생태 및 숲 체험과 텃밭을 운영하고 있어서 더 관심을 갖고 듣게 되었습니다.
교육 과정 속 학급 특색 교육이나 동아리 활동으로 운영하여 체계적인 교육을 하고 싶습니다.
ESD 지속가능발전교육과 기후변화, 탄소 은행, 업사이클 활동 등 지구를 살리는 다양한 교육 내용으로 후속 연수가 개설되면 좋겠습니다.",rate5,2022.04.08
2398,"참쌤스쿨 그림교실, 교사가 최고의 콘텐츠다",참샘스쿨은 언제나 만족이죠,rate5,2022.04.08
2399,놀이와 질문이 함께하는 감동의 그림책 수업,"그림책과 놀이를 동시에 배울 수 있는 연수라 신청하게 되었는데 이번 연수를 통해 강사님의 교육에 대한 철학, 아이들을 보는 애정어린 시선애 더욱 감동 받았습니다. 또한 학급내 있을 수 있는 아이들에 대한 지도 경험도 학급 경영에 많은 도움을 받았습니다. 연수에서 다룬 그림책 목록과 자료집 소중히 인쇄하여 저학년 학급 지도에 유용히 잘 쓰겠습니다.",rate5,2022.04.08
2400,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)","미래를 위한 지역의 보물인 아이들을 민,관, 학 지역 모두가 힘을 합하여 키워나가야한다.",rate5,2022.04.07
2401,세상 쉬운 고교학점제! 진로 진학 끝판왕,"사례를 통한 고교학점제 연구학교들을 통해 다시 한 번 고교학점제 방향을 새롭게 생각하게 되었음.
감사합니다^^^",rate5,2022.04.07
2402,"참쌤스쿨 그림교실, 교사가 최고의 콘텐츠다",교사가 최고의 콘텐츠다.,rate5,2022.04.07
2403,Let's AI 인공지능 교육 활용편,"내용도 알차고 처음보는 활동이 많았는데 비대면으로 원격 연수만 진행되니 아쉬웠던 연수입니다.
상황이 이렇다보니 대면 연수의 기회가 없는 것이 아쉽네요. 좋은 연수 감사합니다.",rate5,2022.04.07
2404,설민석의 한국사능력검정시험[심화]-상,"놓치기 쉬운 내용, 잘 모르고 있던 내용에 대한 재밌는 설명 등이 너무 좋았습니다.

깔끔하게 정리된 교재 뿐만 아니라 판서 등을 잘 활용하면 좋은 결과가 예상되네요.

감사합니다.",rate5,2022.04.07
2405,"민주시민의 길, 평화와 통일교육","평화와 통일을 민족적 과제로만 바라보는 시대를 넘어서야 할 듯 하다. 평화교육의 보편성을 바탕으로 민족적과제이자 동시에 평화정착의 과제인 통일을 미래세대와 나누어야하지 않을까?
책속에 갇힌 통일교육을 넘어서 현장을 중심으로 만나고, 또한 새롭게 성장하고 있는 미래세대의 시각으로 보다 가까운 통일교육, 현장감있는 통일교육, 평화라는 새로운 가치의 통일교육을 꿈꾸어야 하지 않을까?",rate5,2022.04.07
2406,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체","이번 연수를 통해서 학교와 마을이 좀 더 가까워질 수 있는 다양한 마을교육공동체를 접할 수 있어서 좋았습니다. 민관학이 협동으로 협치하여 우리 아이들이 좀 더 행복하게 살아갈 수 있는 세상을 만들 수 있는 방법도 지역사회에서 사시는 많은 사람들의 관심이 필요하다고 봅니다.
우리 아이만이 아니라 우리 지역 모두의 아이들이 다 자기 분야에서 열심히 하는 아이들이 되도록 많은 어른들이 관심과 협력이 필요합니다.",rate5,2022.04.07
2407,"학습격차, 차이를 넘어 함께 성장하기","학습 격차로 고민하시던 선생님들, 큰 틀에서 문제를 바라보기에 좋은 연수입니다.",rate5,2022.04.07
2408,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,"1학년 담임이 처음이라 너무나 막막했는데, 처음부터 끝까지 주옥같은 꿀팁들만 가득했습니다!
덕분에 아이들과 3월을 잘 보내고, 4월을 맞이하고 있네요 :)
곧 학부모 상담이 있는데, 이때도 알려주신 팁들 잘 활용하겠습니다.
막막했던 3월에 단비같은 소중한 연수 감사합니다!",rate5,2022.04.06
2409,"민주시민의 길, 평화와 통일교육","통일교육을 할때마다 참 어렵다는 생각을 했어요.
그래서 시작하게 된 통일교육연수였는데 새로운 시각과 수업에 대한 관점을 만들어준 유익한 연수였습니다.
감사합니다~~^^",rate5,2022.04.06
2410,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,진로교육을 놀이를 통해 학생들이 즐겁게 접할 수 있도록 연수가 편성되어 좋습니다.,rate5,2022.04.06
2411,"학습격차, 차이를 넘어 함께 성장하기",매 해 만나게 되는 학습부진 학생들의 성장을 돕고 학급의 다양한 수업격차를 어떻게 줄일 수 있는지 실제적인 방법을 다루는 연수라 매우 도움이 되었습니다.,rate5,2022.04.06
2412,"학습격차, 차이를 넘어 함께 성장하기",학교에 학습 격차가 많이 나는 친구들이 있어 고민이었는데 두 선생님들이 일목요연하게 설명을 잘 해주셔서 많은 도움 얻어 갑니다. 감사해요!,rate5,2022.04.06
2413,"학습격차, 차이를 넘어 함께 성장하기","어려운 주제인데
너무 쉽게 잘 들었어요!!
추천 추천",rate4,2022.04.06
2414,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)",수강을 마침니다,rate5,2022.04.06
2415,읽고 쓰고 만드는 그림책 수업,그림책을 만들어보는 작가활동으로 적합,rate5,2022.04.05
2416,놀이와 질문이 함께하는 감동의 그림책 수업,학생들이 인지적인 발달과 정서적인 성장을 함께 고려할 수 있는 유익한 연수였습니다.,rate5,2022.04.05
2417,"민주시민의 길, 평화와 통일교육",민주시민으로서 통일교육 방법을 고민해보고 교사로서 많이 배운 연수였습니다.,rate5,2022.04.05
2418,읽고 쓰고 만드는 그림책 수업,그림책을 통해 아이들과 소통하려는 현아샘의 진심과 열정을 충분히 느끼고 배울 수 있어 추천합니다.,rate5,2022.04.05
2419,디지털 네이티브 아이들의 메타버스 세상,"메타버스에 대해 전문적 지식을 가져보고자 들은 연수.
내용은 증강현실, 가상현실 등등에 대한 포괄적인 배경, 정의, 활용 등을 설명함.
시험 문항이 너무 지엽적이라는 점을 알고 들으면 좋겠습니다.
메타버스 AR,VR은 정말 재미있는 장르라 아이들이 좋아하나
특히 vr은 관련 장치들이 학교로 도입되어야 할 수 있기 때문에 언제 들어올지 궁금함.",rate4,2022.04.04
2420,박진희와 함께 하는 교실 속 환경교육,"지금 제 나이가 46인데, 초등학교 6학년 때 수질 오염을 줄이기 위한 방법으로 교실에서 배웠던 방법을 1년 넘게 실천하던 것이 생각이 납니다. 여기에서 제시된 것처럼 샴푸를 사용하지 않고, 비누로 머리를 감고 마지막 헹구는 물에 식초 한 두 방울만 떨어뜨리면 정말 퍽퍽하던 머리카락이 부드러워졌던 기억이 아직도 나네요. 10년 전 에너지 연구학교에 근무했을 때, 폐품을 활용하여 물건도 만들고, 실제로 양치컵을 사용했을 때와 그렇지 않았을 때의 물 사용량을 비교하는 실험을 하면서 양치컵을 꾸준히 사용하도록 실천해 보고, 에너지 절약하기 홍보물을 만들어 근처 아파트 단지에 허락을 받아 게시판에 붙여 놓았던 것도 기억이 납니다. 그때 유통기한이 지난 밀가루와 식초, 소금을 섞어 세제를 만들어 가정에서도 사용을 해 보았는데, 환경을 지키는 일을 하고 있다는 자부심이 생기며 뿌듯해 함을 느꼈습니다. 지금도 주방세제는 만들어서 사용하고 있습니다. 교실에서 환경 교육을 하는 것은 정말 중요하다고 생각합니다. 다양한 교과에 적용하여 환경 교육을 실시하면 일상 생활 속에서도 실천하는 사례가 늘어나게 되고, 많은 사람들이 환경 지킴이가 될 수 있을 것입니다. 아울러 기업도 좀 더 분리배출이 간편하고 친환경적인 소재의 포장지 등을 개발하는데 적극 노력해 주었으면 합니다. 여러 학년에서 적용가능한 환경 교육을 제시해 주셔서 좋았고, 함께 활용할 수 있는 자료도 제시해 주셔서 좋았습니다. 또한 유용하게 활용할 수 있는 사이트도 안내해 주셔서 다음달에 있는 환경생태주간에 잘 활용할 수 있을 것 같습니다. 감사합니다.",rate5,2022.04.04
2421,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,1학년 생활지도에 들어봄에 적합한 강의 였습니다. 차분하고 막힘없는 강의였습니다. 학생과의 문제에 부딪혔을 때 교사로서의 인격을 더욱 완성시키려고 그러나 보다 라고 말씀하신 부분이 인상적입니다.,rate5,2022.04.04
2422,"학습격차, 차이를 넘어 함께 성장하기",많은 도움이 되었습니다.,rate5,2022.04.04
2423,서준호 선생님의 놀이 끝판왕 100,놀이를 많이 알게 되어 좋았습니다.,rate3,2022.04.04
2424,정재승의 미래학교,"4차산업혁명 시기를 맞아 미래 살아가야 할 우리 아이들에게 무엇을 가르쳐야 하고 무엇을 중요시 해야 하는지 생각하게 된 연수였습니다. 서로 공감하고 소통하며 사회성을 기르기 위한 노력이 필요하고, 예전 방식대로 지식만 강요하는 수업이나 학습지도에서 벗어나야겠다는 생각을 하게 되었습니다. 유익한 연수였습니다.",rate5,2022.04.04
2425,디지털 네이티브 아이들의 메타버스 세상,감사합니다!,rate5,2022.04.03
2426,"학습격차, 차이를 넘어 함께 성장하기","학급에는 다양한 학생들이 함께 수업을 하다 보니 어쩔 수 없이 평균에 수준을 맞추게 됩니다.
그래서 우수한 학생들은 기다리는 시간이 길어 미안하고,
학습이 부족한 학생들은 과제 시간을 넉넉히 주지 못해 미안하고,,,
이런 상황이 반복되어 답답하던 차에 좋은 강의를 만나게 되어 많은 도움을 받았습니다.
함께 받은 책을 여러 번 반복해 읽으며 저만의 해답을 찾아가겠습니다.",rate5,2022.04.01
2427,정재승의 미래학교,사회변화에 따른 교육적 요구사항에 대해 정확히 이해할 수 있는 시간이었습니다.,rate5,2022.04.01
2428,학생중심의 질문이 있는 교실,연수 잘 들었습니다. 감사합니다.,rate5,2022.04.01
2429,유대인 토론 '하브루타 러닝 실제',"하브루타 수업의 방법과 현장에서 실제 적용할 수 있는 내용까지.
알차게 공부할 수 있었습니다.",rate5,2022.04.01
2430,프로젝트수업으로 시작하는 교실 속 디자인씽킹,적용 방법을 자세히 안내해주셔서 잘 보았습니다. 적용하기 쉽게 설명해주셔서 좋았습니다.,rate5,2022.03.31
2431,설민석의 한국사능력검정시험[심화]-상,"이해가 잘 되도록 자세히, 논리적으로 재미있게 강의해주셔서 열심히 잘 들었습니다.",rate5,2022.03.31
2432,실전! 창의 수업 전략,막연히 창의성에 대한 개념을 갖고 있었던 저에게 창의성 교육방법이 이렇게 다양하구나를 느끼게 해주었던 연수였습니다.,rate5,2022.03.31
2433,"기초학력의 첫걸음, 한글교육",초1과 초2 두학생을 맡은 특수교사 입니다.. 일반학생들 위주의 강의 이지만 수준을 고려하여 적용하니 아주 좋은 수업자료가 되었고 학생을 가리키는데 좋은 공부가 되었습니다.. 교재를 선택한것은 아주 탁월 했던것 같습니다.. 잘들었습니다..,rate5,2022.03.31
2434,디지털 네이티브 아이들의 메타버스 세상,"메타버스가 너무 핫해서 실제적인 이야기도 궁금했지만
전체적인 의미와 사회와 기술적인 방향과 발전에 대해서 폭넓게 알 수 있었다.
그로 인해 나아가야할 교육의 방향과 그 속에서의 기술의 역할 메타버스의 역할을 알게 되었다.",rate5,2022.03.30
2435,"학습격차, 차이를 넘어 함께 성장하기","학교에서의 모든 생활 속에서(학습관계, 생활관계 등) 함께함의 의미와 소중함을 다시 한 번 생각하게 되었습니다.",rate5,2022.03.30
2436,전문가가 알려주는 창의 영재교육의 비법,"영재 교육에 대한 틀을 잡아주시는 넘 좋은 연수였습니다!
많은 도움이 되어 강력 추천합니다! 감사합니다",rate5,2022.03.30
2437,정재승의 미래학교,"뇌과학자 정재승씨를 평소 너무 좋아하던터라 고민하지 않고 내용을 수강했는데 역시 라는 생각을 했다. 미래학교에서 필요로 하는 기능이 단순한 정보 기능이 아닌 협업, 공존, 사회성 등 함께 고민하고 경험하며 새로운 생각으로 나아가도록 하는 방향을 제시해 준다는 점에서 교사가 들어야할 필수 강의가 아닌가 싶다.",rate5,2022.03.30
